Country,2014,2015,2016,2017,2018
Albania,27.07,25.86,24.59,24.06,25.53
Armenia,20.06,23.92,24.77,23.15,21.93
Kuwait,24.00,25.71,25.01,23.77,20.99
Lebanon,15.63,16.79,16.95,17.79,19.47
Nigeria,10.65,12.53,9.63,16.09,18.45
Marshall Islands,13.11,16.54,15.89,15.36,17.97
Qatar,20.11,19.64,20.72,19.75,17.86
Guinea-Bissau,16.03,15.69,15.09,14.14,16.26
Iceland,12.03,12.84,14.83,16.14,15.96
Argentina,9.68,12.20,16.27,15.93,15.13
Bahrain,2.86,22.15,9.11,20.51,14.80
South Sudan,4.55,23.03,15.59,15.29,14.36
Lesotho,8.23,8.79,12.66,14.07,14.03
Azerbaijan,16.04,14.87,15.69,16.39,13.85
Iraq,8.91,13.64,17.33,16.70,13.81
Australia,11.65,12.58,13.68,13.71,13.66
Norway,13.56,13.34,13.18,13.43,13.18
Lao PDR,17.21,14.84,14.26,13.71,12.97
Comoros,11.93,12.72,14.18,13.76,12.84
Tonga,11.88,10.39,8.94,12.45,12.75
Timor-Leste,6.91,7.58,10.12,12.20,12.36
Rwanda,5.02,11.54,11.73,13.35,12.13
Ukraine,7.81,10.77,12.02,12.06,11.75
Uzbekistan,,,12.65,12.79,11.61
Russian Federation,12.91,13.64,10.39,10.87,11.30
China,10.14,12.48,12.88,11.66,10.88
Cameroon,8.59,9.53,11.56,11.63,10.86
St. Vincent and the Grenadines,7.57,9.60,9.41,10.75,10.64
Maldives,9.84,11.16,10.85,10.74,10.57
Haiti,9.99,11.20,11.99,10.37,10.56
"Bahamas, The",6.47,8.20,9.85,11.26,10.44
Brunei Darussalam,10.52,9.43,11.60,11.67,10.30
Antigua and Barbuda,9.63,11.15,10.94,10.92,10.13
Uruguay,9.57,9.98,9.65,9.92,9.98
Guinea,.99,9.29,.32,2.42,9.94
St. Kitts and Nevis,10.10,9.88,9.18,10.33,9.93
Mongolia,7.36,8.94,9.56,9.47,9.70
Philippines,12.64,13.17,11.40,10.53,9.61
Mauritius,6.73,9.38,10.57,10.29,9.55
Sri Lanka,8.31,9.35,9.79,9.48,9.27
Israel,6.90,8.89,9.16,9.24,9.10
Oman,5.49,6.00,8.47,8.34,9.09
Colombia,6.82,7.50,8.85,9.06,8.94
Georgia,5.62,7.04,8.32,9.13,8.91
Sao Tome and Principe,7.85,11.88,11.14,8.90,8.88
St. Lucia,7.70,9.08,8.48,8.83,8.72
West Bank and Gaza,7.21,8.09,8.19,9.58,8.65
Brazil,9.41,8.37,8.39,10.15,8.63
Cyprus,8.92,10.86,10.82,8.19,8.62
Bolivia,7.38,7.13,8.90,8.81,8.57
Saudi Arabia,9.71,8.24,8.92,9.44,8.56
Tanzania,8.74,10.33,9.32,9.10,8.28
Kyrgyz Republic,8.81,11.04,12.24,8.31,8.26
New Zealand,7.58,7.82,8.42,8.44,8.02
"Macao SAR, China",7.68,7.62,8.43,8.26,7.88
Estonia,6.45,6.95,7.37,7.24,7.60
United Kingdom,7.32,8.01,8.30,7.73,7.60
Nauru,11.16,6.49,10.29,9.83,7.49
Sweden,6.84,7.20,7.37,7.60,7.45
