Country,2014,2015,2016,2017,2018
China,227344000000,249831000000,250112000000,257875000000,277345000000
United States,105668000000,114550000000,123548000000,134867000000,144465000000
Germany,93284000000,77468000000,79923000000,89736000000,95199000000
United Kingdom,67042000000,68116000000,67220000000,65177000000,68888000000
France,48777000000,39521000000,40436000000,42962000000,47764000000
Australia,30123000000,29190000000,30839000000,34470000000,36866000000
Russian Federation,50428000000,34932000000,23952000000,31058000000,34271000000
Canada,34444000000,30271000000,28936000000,31811000000,33581000000
"Korea, Rep.",23192000000,25270000000,27243000000,31691000000,31973000000
Italy,28866000000,24425000000,24987000000,27901000000,30004000000
Spain,17976000000,17429000000,18803000000,22346000000,26670000000
"Hong Kong SAR, China",22011000000,23059000000,24141000000,25388000000,26498000000
Singapore,25547000000,23658000000,23957000000,24588000000,25346000000
Netherlands,21092000000,18038000000,19906000000,21526000000,22702000000
India,14595000000,14838000000,16376000000,18443000000,21319000000
Japan,19314000000,15974000000,18562000000,18188000000,20197000000
Belgium,23820000000,13654000000,14439000000,15600000000,18481000000
Switzerland,16868000000,16294000000,16484000000,17875000000,18335000000
Brazil,25567000000,17357000000,14497000000,19002000000,18266000000
Sweden,15823000000,14410000000,14899000000,17057000000,18056000000
Norway,18539000000,15298000000,15069000000,16268000000,17322000000
Saudi Arabia,24118000000,19346000000,16658000000,17552000000,16644000000
Kuwait,11268000000,12381000000,12337000000,12548000000,14318000000
Thailand,7071000000,7718000000,9072000000,10504000000,12352000000
Malaysia,12442000000,10708000000,10472000000,10829000000,12168000000
Austria,11095000000,9329000000,9772000000,10768000000,11940000000
Philippines,10598000000,11343000000,11135000000,11850000000,11863000000
Mexico,9606000000,10098000000,10303000000,10840000000,11230000000
Argentina,5983000000,6982000000,9679000000,11375000000,10670000000
Denmark,10443000000,8918000000,9174000000,9804000000,10485000000
Poland,8869000000,7939000000,7984000000,8876000000,9721000000
Nigeria,5811000000,5605000000,1079000000,5797000000,9569000000
Qatar,8682000000,8171000000,9089000000,9638000000,9272000000
Indonesia,7682000000,7292000000,7566000000,8289000000,8772000000
Ukraine,5061000000,5101000000,5970000000,7121000000,7899000000
Iraq,6115000000,7934000000,7647000000,8093000000,7855000000
Israel,5189000000,6012000000,6447000000,7057000000,7668000000
Ireland,6061000000,5695000000,6125000000,6616000000,7390000000
Lebanon,4995000000,4741000000,5040000000,5587000000,6254000000
Finland,5303000000,4795000000,5190000000,5606000000,6072000000
Czech Republic,5133000000,4772000000,4920000000,5465000000,5972000000
Portugal,4151000000,3695000000,3951000000,4651000000,5486000000
Colombia,4683000000,4318000000,4254000000,4475000000,4824000000
New Zealand,4108000000,3721000000,4010000000,4463000000,4603000000
Turkey,5072000000,5368000000,4783000000,4823000000,4595000000
Romania,2412000000,2059000000,2136000000,3489000000,4307000000
South Africa,3169000000,2998000000,2858000000,3258000000,3402000000
Luxembourg,3281000000,2819000000,2858000000,2989000000,3216000000
Bahrain,611000000,4342000000,1891000000,3496000000,2717000000
Kazakhstan,3515000000,2867000000,2447000000,2560000000,2687000000
Peru,1589000000,1879000000,2042000000,2214000000,2669000000
"Egypt, Arab Rep.",3140000000,3442000000,4110000000,2160000000,2667000000
Hungary,2036000000,1830000000,2166000000,2469000000,2639000000
Slovak Republic,2428000000,2126000000,2240000000,2411000000,2622000000
Greece,2755000000,2259000000,2220000000,2156000000,2582000000
Oman,1655000000,1769000000,2138000000,2335000000,2542000000
Chile,2089000000,1963000000,2124000000,2304000000,2333000000
Azerbaijan,3008000000,2603000000,2494000000,2658000000,2284000000
Uzbekistan,,,1382000000,1631000000,2243000000
Morocco,1456000000,1402000000,1460000000,1793000000,2007000000
Bulgaria,1202000000,1116000000,1361000000,1695000000,1868000000
Iceland,972000000,998000000,1268000000,1664000000,1829000000
Pakistan,1365000000,1658000000,1909000000,2197000000,1793000000
Croatia,846000000,755000000,945000000,1369000000,1693000000
Albania,1590000000,1238000000,1262000000,1433000000,1679000000
Sri Lanka,1263000000,1420000000,1542000000,1599000000,1660000000
Serbia,1179000000,1102000000,1202000000,1381000000,1643000000
Slovenia,1488000000,1231000000,1306000000,1508000000,1634000000
Cyprus,1343000000,1080000000,1120000000,1366000000,1551000000
Estonia,1181000000,1026000000,1164000000,1252000000,1468000000
"Macao SAR, China",1213000000,1227000000,1223000000,1289000000,1411000000
Armenia,1024000000,996000000,1067000000,1270000000,1405000000
Jordan,1142000000,1160000000,1258000000,1386000000,1387000000
Lithuania,1059000000,951000000,1012000000,1115000000,1195000000
Panama,942000000,1055000000,1269000000,973000000,1096000000
Belarus,1159000000,901000000,800000000,983000000,1058000000
Uruguay,1356000000,1162000000,915000000,1008000000,1047000000
Lao PDR,1051000000,998000000,912000000,922000000,926000000
Bolivia,808000000,711000000,818000000,866000000,912000000
Tunisia,681000000,696000000,749000000,795000000,864000000
Cambodia,401000000,510000000,616000000,741000000,862000000
Costa Rica,450000000,690000000,803000000,895000000,862000000
Nepal,504000000,527000000,587000000,784000000,836000000
Guatemala,788000000,755000000,735000000,748000000,785000000
Latvia,715000000,618000000,699000000,728000000,778000000
Bangladesh,400000000,427000000,484000000,603000000,756000000
Tanzania,1102000000,1195000000,922000000,807000000,738000000
West Bank and Gaza,513000000,600000000,611000000,753000000,737000000
