Country,2014,2015,2016,2017,2018
China,227344000000,249831000000,250112000000,257875000000,277345000000
United States,140558000000,150044000000,160959000000,173760000000,186508000000
Germany,101737000000,85334000000,87414000000,97777000000,104204000000
United Kingdom,67042000000,68116000000,67220000000,65177000000,68888000000
France,58464000000,47713000000,49029000000,52495000000,57925000000
Australia,35666000000,34071000000,35718000000,39710000000,42351000000
Russian Federation,55383000000,38432000000,27654000000,35584000000,38791000000
Italy,28866000000,30312000000,30584000000,34819000000,37644000000
"Korea, Rep.",26136000000,27957000000,29817000000,34453000000,34769000000
Canada,34444000000,30271000000,28936000000,31811000000,33581000000
Japan,28609000000,23252000000,25968000000,25774000000,28096000000
Spain,17976000000,17429000000,18803000000,22346000000,26670000000
"Hong Kong SAR, China",22011000000,23059000000,24141000000,25388000000,26498000000
Netherlands,23655000000,20234000000,22538000000,24720000000,25952000000
India,17492000000,17686000000,19184000000,21856000000,25790000000
Singapore,25547000000,23658000000,23957000000,24588000000,25346000000
Brazil,29998000000,20356000000,17068000000,22991000000,22229000000
Belgium,26444000000,15856000000,16522000000,17835000000,20830000000
Switzerland,19940000000,18762000000,18806000000,20277000000,20722000000
Norway,20166000000,16485000000,16384000000,17517000000,18592000000
Sweden,15823000000,14410000000,14899000000,17057000000,18056000000
United Arab Emirates,15848000000,16637000000,17127000000,17645000000,17999000000
Saudi Arabia,25137000000,20366000000,17671000000,19065000000,17932000000
Thailand,8824000000,9539000000,11267000000,12676000000,14675000000
Kuwait,12280000000,13148000000,13232000000,13722000000,14318000000
Austria,11095000000,11337000000,11634000000,12878000000,14256000000
Mexico,12556000000,12668000000,12823000000,13647000000,14073000000
Malaysia,13893000000,11599000000,11339000000,12145000000,13248000000
Nigeria,9204000000,9017000000,4524000000,8194000000,13218000000
Argentina,7837000000,9348000000,12273000000,14175000000,13092000000
Philippines,11130000000,11868000000,11681000000,12442000000,12474000000
Qatar,12871000000,11641000000,13152000000,12284000000,11754000000
Indonesia,10263000000,9800000000,9932000000,10945000000,11629000000
Poland,9541000000,8523000000,8617000000,9567000000,10608000000
Denmark,10443000000,8918000000,9174000000,9804000000,10485000000
Israel,6534000000,7506000000,8210000000,8985000000,9765000000
Ukraine,5470000000,5408000000,6306000000,7536000000,8287000000
Iraq,6115000000,7934000000,7647000000,8093000000,7855000000
Ireland,6175000000,5790000000,6217000000,6616000000,7390000000
Finland,6324000000,5785000000,6198000000,6676000000,7268000000
Portugal,5213000000,4576000000,4724000000,5559000000,6524000000
Lebanon,5198000000,5187000000,5252000000,5704000000,6395000000
South Africa,6314000000,5734000000,5354000000,6068000000,6348000000
Czech Republic,5173000000,4819000000,4963000000,5533000000,6074000000
Vietnam,2650000000,3595000000,4500000000,5040000000,5910000000
Colombia,5175000000,4820000000,4825000000,5135000000,5625000000
Romania,2636000000,2331000000,2464000000,4060000000,5088000000
Turkey,5475000000,5683000000,5025000000,5180000000,4993000000
New Zealand,4108000000,3721000000,4010000000,4463000000,4603000000
Bahrain,758000000,4939000000,1921000000,4896000000,4023000000
Greece,4003000000,3535000000,3412000000,3306000000,3910000000
Peru,2118000000,2539000000,2700000000,2916000000,3417000000
Luxembourg,3359000000,2874000000,2914000000,3043000000,3290000000
Hungary,2712000000,2456000000,2738000000,3049000000,3280000000
Oman,2081000000,2208000000,2643000000,2915000000,3210000000
Chile,2707000000,2518000000,2733000000,3063000000,3086000000
Morocco,2273000000,2155000000,2312000000,2829000000,3018000000
Pakistan,2209000000,2642000000,2962000000,3401000000,2899000000
"Egypt, Arab Rep.",3486000000,3636000000,4351000000,2419000000,2897000000
Kazakhstan,3771000000,3046000000,2580000000,2695000000,2852000000
Slovak Republic,2582000000,2266000000,2420000000,2599000000,2823000000
Uzbekistan,,,1832000000,2107000000,2722000000
Sri Lanka,1922000000,2152000000,2295000000,2409000000,2487000000
Azerbaijan,3163000000,2743000000,2593000000,2803000000,2453000000
Bulgaria,1459000000,1346000000,1636000000,2047000000,2247000000
Serbia,1360000000,1254000000,1351000000,1549000000,1837000000
Iceland,972000000,998000000,1268000000,1664000000,1829000000
Slovenia,1646000000,1370000000,1484000000,1643000000,1755000000
Albania,1689000000,1311000000,1338000000,1473000000,1750000000
Croatia,865000000,770000000,954000000,1399000000,1737000000
Estonia,1346000000,1169000000,1301000000,1399000000,1651000000
Cyprus,1343000000,1453000000,1559318000,1366000000,1551000000
Jordan,1251000000,1267000000,1367000000,1496000000,1493000000
Armenia,1101000000,1057000000,1119000000,1325000000,1458000000
"Macao SAR, China",1344000000,1336000000,1319000000,1391000000,1411000000
Ghana,947000000,1405000000,1571000000,1581000000,1329000000
Uruguay,1604000000,1388000000,1139000000,1233000000,1309000000
Panama,1147000000,1272000000,1476000000,1184000000,1307000000
Bangladesh,782000000,827000000,843000000,1127000000,1208000000
Lithuania,1059000000,951000000,1012000000,1115000000,1195000000
Costa Rica,657000000,898000000,1055000000,1173000000,1162000000
Belarus,1308000000,997000000,891000000,1082000000,1159000000
Guatemala,1033000000,1004000000,989000000,1011000000,1121000000
Bolivia,953000000,849000000,960000000,1034000000,1081000000
