Country,2014,2015,2016,2017,2018
France,83701000,84452000,82682000,86758000,89322000
Spain,64939000,68175000,75315000,81869000,82773000
United States,75379350,77773520,76407480,77186740,79745920
China,55622000,56886000,59270000,60740000,62900000
Italy,48576000,50732000,52372000,58253000,61567200
Turkey,39811000,39478000,30289000,37601000,45768000
Mexico,29346000,32093000,35079000,39291000,41313000
Germany,32999000,34970000,35555000,37452000,38881000
Thailand,24810000,29923000,32530000,35592000,38178000
United Kingdom,32613000,34436000,35814000,37651000,36316000
Japan,13413000,19737000,24040000,28691000,31192000
Austria,25291000,26728000,28121000,29460000,30816000
Greece,22033000,23599000,24799000,27194000,30123000
"Hong Kong SAR, China",27770000,26686000,26553000,27884000,29263000
Malaysia,27437000,25721000,26757000,25948000,25832000
Russian Federation,32421000,33729000,24571000,24390000,24551000
United Arab Emirates,16232000,17472000,18967000,20394000,21286000
Canada,16537000,17971000,19971000,20883000,21134000
Poland,16000000,16728000,17471000,18258000,19622000
Netherlands,13925000,15007000,15828000,17924000,18780000
"Macao SAR, China",14566000,14308000,15703600,17255000,18493000
Hungary,12140000,14316000,15255000,15785000,17552000
India,13107000,13284000,14570000,15543000,17423000
Croatia,11623000,12683000,13809000,15593000,16645000
Portugal,10497000,11723000,13359000,15432000,16186000
Indonesia,9435000,10407000,11519000,14040000,15810000
Vietnam,7874000,7944000,10013000,12922000,15498000
"Korea, Rep.",14202000,13232000,17242000,13336000,15347000
Saudi Arabia,18260000,17994000,18044000,16109000,15334000
Singapore,11864000,12051000,12913000,13903000,14673000
Ukraine,12712000,12428000,13333000,14230000,14104000
Denmark,10267000,10424000,10781000,12426000,12749000
Morocco,10283000,10177000,10332000,11349000,12289000
Bahrain,10452000,9670000,10158000,11374000,12045000
Romania,8442000,9331000,10223000,10926000,11720000
Belarus,5374900,4385600,10935400,11060200,11501600
"Egypt, Arab Rep.",9628300,9139000,5258000,8157000,11196000
Ireland,8813000,9528000,10100000,10338000,10926000
Czech Republic,8096000,8707000,9321000,10160000,10611000
South Africa,9549000,8904000,10044000,10285000,10472000
Switzerland,9158000,9305000,9205000,9889000,10362000
Bulgaria,7311000,7099000,8252000,8883000,9273000
Australia,6922000,7449000,8269000,8815000,9246000
Belgium,7887000,8355000,7481000,8385000,9119000
Kazakhstan,6333000,6430000,6509000,7701000,8789000
Kuwait,6528000,6941000,7055000,7407000,8508000
Tunisia,7163000,5359000,5724000,7052000,8299000
Sweden,5660000,6482000,6782000,7054000,7440000
"Iran, Islamic Rep.",4968000,5237000,4942000,4867000,7295000
Philippines,4833000,5361000,5967000,6621000,7168000
Argentina,7165000,6816000,6668000,6711000,6942000
Brazil,6430000,6306000,6547000,6589000,6621000
Dominican Republic,5141400,5600000,5959300,6188000,6569000
Cambodia,4503000,4775000,5012000,5602000,6201000
Chile,3674000,4478000,5641000,6450000,5723000
Norway,4855000,5361000,5960000,6252000,5688000
Uzbekistan,1862000,1918000,2027000,2690000,5346000
Albania,3341000,3784000,4070000,4643000,5340000
Georgia,2939000,3012000,3297000,4069400,4757000
Cuba,2981000,3506000,3975000,4594000,4684000
Slovenia,2675000,3022000,3397000,3991000,4425000
Peru,3215000,3456000,3744000,4032000,4419000
