Country,2014,2015,2016,2017,2018
China,116593000,127860000,135130000,143035000,149720000
Germany,83008000,83737000,90966000,92402000,108542000
United States,68185000,74191000,80223000,87657000,92564000
"Hong Kong SAR, China",84519000,89082000,91758000,91304000,92214000
United Kingdom,58364000,64165000,69375000,71356000,70386000
Russian Federation,45889000,34550000,31659000,39629000,41964000
Italy,26862000,27494000,29067000,31805000,33347100
"Korea, Rep.",16081000,19310000,22383000,26496000,28696000
Ukraine,22438000,23142000,24668000,26437000,27811000
France,27919000,26648000,26483000,29055000,26914000
India,18330000,20376000,21872000,23943000,26296000
Canada,33518000,32267000,31278000,33060000,26033000
Netherlands,17928000,18070000,17938000,22095000,22115000
Saudi Arabia,19824490,20819000,21207000,21146000,21866000
Romania,12299000,13118000,16128000,19953000,21039000
Mexico,18261000,19603000,20223000,19067000,19748000
Spain,11783000,14407000,15405000,17031000,19116000
Japan,16903000,16214000,17116000,17889000,18954000
United Arab Emirates,,,,,18904000
Switzerland,12518000,13601000,13857000,15318000,15285000
Belgium,10991000,10835000,13372000,12142000,13098000
Poland,10300000,10900000,11300000,12000000,12800000
Austria,10994000,10628000,11534000,11491000,11883000
Australia,9480000,9810000,10390000,10932000,11403000
Argentina,6517000,7807000,10417000,12213000,11130000
Brazil,9617000,9478000,8872000,10610000,10628000
Thailand,6444000,6794000,8204000,8963000,9966000
Singapore,8647000,8903000,9125000,9474000,9889000
Indonesia,8074000,8176000,8340000,8856000,9468000
Finland,8731000,8904000,9125000,9330000,9450000
Hungary,5587000,6382000,7091000,7539000,8649000
Ireland,6676000,7094000,7646000,8171000,8643000
Israel,5181000,5891000,6781000,7597000,8473000
Turkey,7982000,8751000,7892000,8887000,8383000
Norway,9190000,8750000,8030000,8170000,8110000
Greece,5802000,6291000,7235000,7685000,7961000
Denmark,8528000,8991000,9651000,8087000,7475000
Czech Republic,5651000,5856000,6027000,6775000,7390000
"Iran, Islamic Rep.",7698000,6620000,9007000,10543000,7243000
Kyrgyz Republic,3790000,4008000,4185000,4446000,6839000
Bulgaria,4158000,4632000,5392000,6228000,6699000
Algeria,2839000,3638000,4530000,5058000,5610000
Albania,4146000,4504000,4852000,5186000,5415000
Colombia,3911000,3862000,3795000,4017000,4368000
Azerbaijan,3319000,3256000,3592000,3447000,3919000
Chile,3169000,3359000,3553000,3620000,3825000
Georgia,3106000,3136000,3400000,3851000,3698000
Oman,3358000,3838000,4167000,4473000,3350000
Lao PDR,3320000,3067000,3059000,3049000,3207000
Slovenia,2642000,2867000,2853000,3013000,3188000
Peru,2442000,2595000,2751000,2875000,3078000
New Zealand,2276000,2412000,2611000,2853000,3038000
Zimbabwe,3182000,3393000,3192000,2768000,2987000
Bahrain,,4741000,,3136000,2868000
Tunisia,2637000,,1830000,,2515000
Portugal,1502000,1893000,1941000,2195000,2486000
Lithuania,1789000,1860000,1953000,2032000,2244000
Estonia,1426000,1250000,1339000,1279000,2069000
Croatia,2763000,2578000,1615000,1923000,2058000
Cambodia,956000,1194000,1434000,1752000,1995000
Luxembourg,1815000,1702000,1588000,1802000,1989000
Uruguay,2396000,2217000,1715000,1789000,1947000
Morocco,1850000,1910000,1864000,1849000,1923000
Eswatini,1657000,1713000,1789000,1751000,1717000
Armenia,1198000,1187000,1263000,1482000,1623000
"Macao SAR, China",1537000,1466000,1251000,1391000,1579000
Jordan,1230000,,1511000,1592000,1501000
Sri Lanka,1311000,1356000,1448000,1439000,1476000
Cyprus,1209000,1119000,1268000,1407000,1446000
Ecuador,1096000,1221000,1366000,1347000,1402000
Latvia,1362000,1242000,1250000,1265000,1368000
Paraguay,426000,1008000,1503000,1548000,1266000
El Salvador,1163000,1250000,1411000,1394000,1260000
Guatemala,840000,939000,1053000,1067000,1227000
Costa Rica,798000,919000,1036000,1150000,1079000
Bolivia,932000,965000,940000,997000,1060000
Nicaragua,959000,925000,981000,982000,974000
Belarus,741000,671000,467000,706000,836000
Panama,853000,740000,770000,917000,681000
Iceland,400000,450000,536000,619000,668000
Malta,391000,428000,497000,573000,667000
Dominican Republic,427000,478000,500000,522000,514000
Mauritius,223000,242000,260000,283000,296000
Moldova,180600,189800,177000,229000,264000
Fiji,,,156000,169000,174000
Sierra Leone,93000,61000,92000,110000,112000
Seychelles,50000,56000,68000,74000,72000
Samoa,57000,54000,,55000,64000
Tajikistan,19000,16000,22000,31000,31000
Vanuatu,26000,27000,25000,28000,29000
Malaysia,,,,,
Papua New Guinea,,,,,
Philippines,3488000,5115000,5703000,,
Kazakhstan,10230000,,,,
Sweden,,,,21232000,
Turkmenistan,,,,,
Cuba,355000,580000,894000,,
Trinidad and Tobago,,,,,
"Venezuela, RB",1589000,1539000,1530000,1079000,
"Egypt, Arab Rep.",6180000,,,,
Kuwait,,,,,
Honduras,557000,692000,654000,,
Puerto Rico,793000,746000,789000,792000,
Bangladesh,,,,,
Syrian Arab Republic,,,,,
Burundi,,,,,
Maldives,,,,,
Nepal,,,,1197000,
Tuvalu,,,,,
"Congo, Dem. Rep.",,356000,424000,,
Gabon,,,,,
Uganda,511000,523000,568000,,
Central African Republic,,,,,
Chad,,,56000,52000,
Slovak Republic,2406000,2777000,3095000,3870000,
"Gambia, The",,,,,
"Congo, Rep.",,,,,
