Country,Diplomat
China,276
United States,273
France,267
Japan,247
Russian Federation,242
Turkey,235
Germany,224
Brazil,222
Spain,215
Italy,209
United Kingdom,208
India,186
"Korea, Rep.",183
Argentina,157
Mexico,157
Netherlands,152
Switzerland,146
Canada,144
Poland,136
Greece,135
Indonesia,132
Hungary,131
Portugal,128
Chile,128
South Africa,124
Belgium,118
Australia,118
Pakistan,117
Czech Republic,116
Saudi Arabia,114
Malaysia,107
Taiwan,107
Sweden,104
Israel,104
Norway,99
Austria,98
Thailand,98
Vietnam,96
Denmark,89
Ireland,87
Philippines,87
Finland,85
Slovak Republic,81
Bangladesh,75
New Zealand,72
Sri Lanka,67
Lithuania,61
Slovenia,54
"Korea, Dem. People’s Rep.",52
Singapore,50
Latvia,47
Estonia,44
Myanmar,44
Mongolia,43
Brunei Darussalam,42
Nepal,39
Lao PDR,39
Cambodia,38
Luxembourg,37
Iceland,25
Bhutan,9
