Country,PercentageImmigrantPopulation
Aruba,34.76210186
Afghanistan,1.175546927
Angola,0.42700468
Albania,1.98903641
Andorra,59.7136492
United Arab Emirates,88.40404837
Argentina,4.805292335
Armenia,6.335892888
Antigua and Barbuda,30.58550611
Australia,28.21840969
Austria,17.46572625
Azerbaijan,2.709061584
Burundi,2.565632229
Belgium,12.28353319
Benin,2.255540965
Burkina Faso,3.892039853
Bangladesh,0.883753735
Bulgaria,1.428196392
Bahrain,51.12678501
"Bahamas, The",15.28430309
Bosnia and Herzegovina,0.91336484
Belarus,11.40401056
Belize,14.99080123
Bermuda,30.84639701
Bolivia,1.333267442
Brazil,0.3433132
Barbados,12.12990166
Brunei Darussalam,24.27597191
Bhutan,6.595769395
Botswana,7.100334367
Central African Republic,1.665172192
Canada,21.80166365
Switzerland,29.38668554
Chile,2.615513217
China,0.071076396
Cote d'Ivoire,9.582598655
Cameroon,1.636313704
"Congo, Dem. Rep.",0.706246281
"Congo, Rep.",8.505799369
Colombia,0.276047227
Comoros,1.592316297
Cabo Verde,2.867232018
Costa Rica,8.771009911
Cuba,0.117089665
Curacao,23.92511593
Cayman Islands,39.56509414
Cyprus,16.83403415
Czech Republic,3.84222568
Germany,14.8790513
Djibouti,12.65412041
Dominica,9.246009906
Denmark,10.09899135
Dominican Republic,3.947079853
Algeria,0.611072023
Ecuador,2.400299101
"Egypt, Arab Rep.",0.537267287
Eritrea,
Spain,12.69023719
Estonia,15.41630922
Ethiopia,1.079526012
Finland,5.739683257
Fiji,1.541341374
France,12.08847938
Faroe Islands,11.44629557
"Micronesia, Fed. Sts.",2.638330461
Gabon,15.55585953
United Kingdom,13.20097825
Georgia,4.220248352
Ghana,1.457397152
Gibraltar,34.34522147
Guinea,1.811566559
"Gambia, The",9.670886483
Guinea-Bissau,1.210903718
Equatorial Guinea,1.280974132
Greece,11.34237737
Grenada,6.606131524
Greenland,10.69483501
Guatemala,0.467187672
Guam,44.78853342
Guyana,2.005514382
"Hong Kong SAR, China",38.94993992
Honduras,0.347613516
Croatia,13.60471399
Haiti,0.3690482
Hungary,4.562465252
Indonesia,0.127675543
Isle of Man,51.51629073
India,0.399752709
Ireland,15.91693657
"Iran, Islamic Rep.",3.446397535
Iraq,0.971576098
Iceland,11.3901495
Israel,24.94690004
Italy,9.680767742
Jamaica,0.829367047
Jordan,40.9771116
Japan,1.614775057
Kazakhstan,20.12330509
Kenya,2.354722885
Kyrgyz Republic,3.440796423
Cambodia,0.474794451
Kiribati,2.80458625
St. Kitts and Nevis,13.39343554
"Korea, Rep.",2.639159354
Kuwait,73.63955073
Lao PDR,0.327020359
Lebanon,34.1456803
Liberia,2.526491982
Libya,12.28244987
St. Lucia,6.903280558
Liechtenstein,62.59625376
Sri Lanka,0.186850018
Lesotho,0.307818842
Lithuania,4.726089623
Luxembourg,43.96413394
Latvia,13.35324026
"Macao SAR, China",58.32190277
Morocco,0.257467738
Monaco,55.76846625
Moldova,3.512106598
Madagascar,0.132347777
Maldives,25.87218175
Mexico,0.939364727
Marshall Islands,6.197044893
North Macedonia,6.289774173
Mali,2.063359738
Malta,9.898488069
Myanmar,0.136014603
Montenegro,13.19007768
Mongolia,0.595444478
Mozambique,0.796801385
Mauritania,3.396676733
Mauritius,2.24510922
Malawi,1.249811795
Malaysia,8.289348916
Namibia,3.818401435
New Caledonia,24.43390418
Niger,0.951072208
Nigeria,0.658124088
Nicaragua,0.661982706
Netherlands,11.69568274
Norway,14.23561116
Nepal,1.817645553
Nauru,31.0898063
New Zealand,22.95970035
Oman,41.08587362
Pakistan,1.920846061
Panama,4.701027527
Peru,0.289645141
Philippines,0.210390539
Palau,26.60278991
Papua New Guinea,0.338376609
Poland,1.604180837
Puerto Rico,7.465496392
"Korea, Dem. People’s Rep.",0.192635219
Portugal,8.089593589
Paraguay,2.356666686
French Polynesia,10.63006606
Qatar,75.49762789
Romania,1.163134803
Russian Federation,8.11621786
Rwanda,3.803080984
South Asia,0.660188417
Saudi Arabia,32.29494249
Sudan,1.251344542
Senegal,1.739951417
Singapore,45.39179191
Solomon Islands,0.442947201
Sierra Leone,1.413457295
El Salvador,0.686271613
San Marino,14.84220132
Somalia,0.234455884
Serbia,9.122622084
South Sudan,6.67856204
Sao Tome and Principe,1.25772286
Suriname,8.625811501
Slovak Republic,3.265417899
Slovenia,11.41296409
Sweden,16.76755875
Eswatini,2.453747951
Seychelles,13.25890682
Syrian Arab Republic,4.730134388
Turks and Caicos Islands,34.03710067
Chad,3.682771371
Togo,3.79000676
Thailand,5.758232652
Tajikistan,3.242910896
Turkmenistan,3.654711583
Timor-Leste,0.914442949
Tonga,5.397946689
Trinidad and Tobago,3.66763033
Tunisia,0.503849717
Turkey,3.769001103
Tuvalu,1.421944332
Tanzania,0.48853553
Uganda,1.920126168
Ukraine,10.78646116
Uruguay,2.092316749
United States,14.49065352
Uzbekistan,3.91690324
St. Vincent and the Grenadines,4.181359741
"Venezuela, RB",4.514736572
Vietnam,0.077897131
Vanuatu,1.204222904
Samoa,2.550872544
"Yemen, Rep.",1.282529228
South Africa,5.767090449
Zambia,0.78902565
Zimbabwe,2.556382525
