Country,ImportPercentage
Albania,25.53
Armenia,21.93
Kuwait,20.99
Lebanon,19.47
Nigeria,18.45
Marshall Islands,17.97
Qatar,17.86
Guinea-Bissau,16.26
Iceland,15.96
Argentina,15.13
Bahrain,14.80
South Sudan,14.36
Lesotho,14.03
Azerbaijan,13.85
Iraq,13.81
Australia,13.66
Norway,13.18
Lao PDR,12.97
Comoros,12.84
Tonga,12.75
Timor-Leste,12.36
Rwanda,12.13
Ukraine,11.75
Uzbekistan,11.61
Russian Federation,11.30
China,10.88
Cameroon,10.86
St. Vincent and the Grenadines,10.64
Maldives,10.57
Haiti,10.56
"Bahamas, The",10.44
Brunei Darussalam,10.30
Antigua and Barbuda,10.13
Uruguay,9.98
Guinea,9.94
St. Kitts and Nevis,9.93
Mongolia,9.70
Philippines,9.61
Mauritius,9.55
Sri Lanka,9.27
Israel,9.10
Oman,9.09
Colombia,8.94
Georgia,8.91
Sao Tome and Principe,8.88
St. Lucia,8.72
West Bank and Gaza,8.65
Brazil,8.63
Cyprus,8.62
Bolivia,8.57
Saudi Arabia,8.56
Tanzania,8.28
Kyrgyz Republic,8.26
New Zealand,8.02
"Macao SAR, China",7.88
Estonia,7.60
United Kingdom,7.60
Nauru,7.49
Sweden,7.45
Cabo Verde,7.22
Solomon Islands,7.15
Dominica,6.95
Moldova,6.86
Finland,6.67
Peru,6.64
Jordan,6.56
Germany,6.39
Madagascar,6.38
Grenada,6.36
Jamaica,6.33
Nepal,6.27
Bhutan,6.27
Portugal,6.26
Italy,6.24
France,6.19
Kazakhstan,6.17
Serbia,6.14
Austria,6.01
Malaysia,5.99
United States,5.96
Denmark,5.94
Costa Rica,5.91
South Africa,5.83
Spain,5.80
Canada,5.78
Ghana,5.72
Croatia,5.65
Morocco,5.45
Switzerland,5.44
Bulgaria,5.41
"Korea, Rep.",5.41
Indonesia,5.38
Seychelles,5.35
Nicaragua,5.19
Fiji,5.17
Thailand,5.17
Guatemala,5.13
Cambodia,4.94
Suriname,4.93
Romania,4.73
Zambia,4.69
Singapore,4.65
Belgium,4.64
Malawi,4.62
Vanuatu,4.56
Greece,4.56
Panama,4.54
Honduras,4.46
Belize,4.43
Pakistan,4.27
Slovenia,4.21
Ecuador,4.07
Dominican Republic,4.05
India,4.01
Paraguay,3.96
"Hong Kong SAR, China",3.88
Tunisia,3.87
El Salvador,3.87
Uganda,3.87
Netherlands,3.85
"Egypt, Arab Rep.",3.80
Sierra Leone,3.78
Botswana,3.68
Latvia,3.68
Chile,3.63
Poland,3.47
Czech Republic,3.44
Bosnia and Herzegovina,3.18
Ethiopia,3.07
North Macedonia,3.06
Japan,3.04
Angola,2.94
Luxembourg,2.93
Malta,2.85
Afghanistan,2.83
Lithuania,2.82
Slovak Republic,2.81
Belarus,2.80
Mexico,2.80
Guyana,2.63
Hungary,2.58
Burundi,2.54
Vietnam,2.41
Ireland,2.17
Turkey,2.08
Eswatini,2.08
Montenegro,1.99
Bangladesh,1.84
"Gambia, The",1.67
Trinidad and Tobago,1.64
Mozambique,1.28
Mauritania,1.16
Namibia,1.07
Samoa,.98
Tajikistan,.75
"Congo, Dem. Rep.",.65
Myanmar,.63
Liberia,.62
Sudan,.16
Papua New Guinea,
Barbados,
"Venezuela, RB",
"Iran, Islamic Rep.",
Libya,
Syrian Arab Republic,
Djibouti,
Benin,
"Congo, Rep.",
Gabon,
Kenya,
Mali,
Niger,
Senegal,
Togo,
Palau,
Tuvalu,
Algeria,
"Yemen, Rep.",
Burkina Faso,
Cote d'Ivoire,
Kiribati,
"Micronesia, Fed. Sts.",
Zimbabwe,
