Country,travelItems
China,277345000000
United States,144465000000
Germany,95199000000
United Kingdom,68888000000
France,47764000000
Australia,36866000000
Russian Federation,34271000000
Canada,33581000000
"Korea, Rep.",31973000000
Italy,30004000000
Spain,26670000000
"Hong Kong SAR, China",26498000000
Singapore,25346000000
Netherlands,22702000000
India,21319000000
Japan,20197000000
Belgium,18481000000
Switzerland,18335000000
Brazil,18266000000
Sweden,18056000000
Norway,17322000000
Saudi Arabia,16644000000
Kuwait,14318000000
Thailand,12352000000
Malaysia,12168000000
Austria,11940000000
Philippines,11863000000
Mexico,11230000000
Argentina,10670000000
Denmark,10485000000
Poland,9721000000
Nigeria,9569000000
Qatar,9272000000
Indonesia,8772000000
Ukraine,7899000000
Iraq,7855000000
Israel,7668000000
Ireland,7390000000
Lebanon,6254000000
Finland,6072000000
Czech Republic,5972000000
Portugal,5486000000
Colombia,4824000000
New Zealand,4603000000
Turkey,4595000000
Romania,4307000000
South Africa,3402000000
Luxembourg,3216000000
Bahrain,2717000000
Kazakhstan,2687000000
Peru,2669000000
"Egypt, Arab Rep.",2667000000
Hungary,2639000000
Slovak Republic,2622000000
Greece,2582000000
Oman,2542000000
Chile,2333000000
Azerbaijan,2284000000
Uzbekistan,2243000000
Morocco,2007000000
Bulgaria,1868000000
Iceland,1829000000
Pakistan,1793000000
Croatia,1693000000
Albania,1679000000
Sri Lanka,1660000000
Serbia,1643000000
Slovenia,1634000000
Cyprus,1551000000
Estonia,1468000000
"Macao SAR, China",1411000000
Armenia,1405000000
Jordan,1387000000
Lithuania,1195000000
Panama,1096000000
Belarus,1058000000
Uruguay,1047000000
Lao PDR,926000000
Bolivia,912000000
Tunisia,864000000
Cambodia,862000000
Costa Rica,862000000
Nepal,836000000
Guatemala,785000000
Latvia,778000000
Bangladesh,756000000
Tanzania,738000000
West Bank and Gaza,737000000
Mongolia,719000000
Cameroon,688000000
Ecuador,654000000
Mauritius,649000000
Ethiopia,612000000
Puerto Rico,592000000
Brunei Darussalam,585000000
Angola,555000000
Dominican Republic,549000000
Georgia,525000000
Malta,518000000
Ghana,450000000
El Salvador,443000000
Honduras,408000000
Maldives,361000000
Moldova,353000000
"Bahamas, The",349000000
Paraguay,336000000
Lesotho,334000000
Rwanda,326000000
Kyrgyz Republic,321000000
Jamaica,286000000
Zambia,279000000
Botswana,269000000
Bosnia and Herzegovina,261000000
North Macedonia,259000000
Nicaragua,219000000
Afghanistan,203000000
Uganda,187000000
Madagascar,183000000
Fiji,149000000
Mozambique,132000000
"Congo, Dem. Rep.",115000000
Timor-Leste,115000000
Haiti,103000000
Trinidad and Tobago,98000000
Malawi,97000000
Suriname,94000000
Myanmar,89000000
Antigua and Barbuda,88000000
Cabo Verde,85000000
Guyana,80000000
Bhutan,78000000
Guinea-Bissau,74500000
Seychelles,69000000
Montenegro,68000000
St. Lucia,56000000
Namibia,56000000
Sierra Leone,54000000
Solomon Islands,53100000
Belize,48000000
St. Kitts and Nevis,44000000
Eswatini,41000000
Tonga,36000000
St. Vincent and the Grenadines,26000000
Comoros,25000000
Grenada,24000000
Burundi,23000000
Djibouti,22300000
Dominica,20000000
Marshall Islands,19900000
Sao Tome and Principe,17600000
Vanuatu,17000000
Mauritania,13000000
Guinea,13000000
Sudan,13000000
Tajikistan,10200000
"Gambia, The",9000000
South Sudan,8000000
Liberia,7700000
Nauru,7100000
Samoa,1700000
Papua New Guinea,
Barbados,
"Venezuela, RB",
Algeria,
Libya,
Syrian Arab Republic,
"Iran, Islamic Rep.",
"Yemen, Rep.",
Benin,
Cote d'Ivoire,
Gabon,
Mali,
"Congo, Rep.",
Kenya,
Niger,
Senegal,
Togo,
Palau,
Burkina Faso,
Tuvalu,
Central African Republic,
Kiribati,
"Micronesia, Fed. Sts.",
Zimbabwe,
